Id2,Geography,Id,Population Group,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Total population - Male,Margin of Error; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Margin of Error; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Under 5 years,Margin of Error; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 17 years,Margin of Error; SEX AND AGE - 5 to 17 years,Estimate; SEX AND AGE - 18 to 24 years,Margin of Error; SEX AND AGE - 18 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 64 years,Margin of Error; SEX AND AGE - 55 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 years and over,Margin of Error; SEX AND AGE - 75 years and over,Estimate; SEX AND AGE - Median age (years),Margin of Error; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - Under 18 years,Margin of Error; SEX AND AGE - Under 18 years,Estimate; SEX AND AGE - Under 18 years - Male,Margin of Error; SEX AND AGE - Under 18 years - Male,Estimate; SEX AND AGE - Under 18 years - Female,Margin of Error; SEX AND AGE - Under 18 years - Female,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 18 years and over - Male,Margin of Error; SEX AND AGE - 18 years and over - Male,Estimate; SEX AND AGE - 18 years and over - Female,Margin of Error; SEX AND AGE - 18 years and over - Female,Estimate; SEX AND AGE - 18 to 34 years,Margin of Error; SEX AND AGE - 18 to 34 years,Estimate; SEX AND AGE - 18 to 34 years - Male,Margin of Error; SEX AND AGE - 18 to 34 years - Male,Estimate; SEX AND AGE - 18 to 34 years - Female,Margin of Error; SEX AND AGE - 18 to 34 years - Female,Estimate; SEX AND AGE - 35 to 64 years,Margin of Error; SEX AND AGE - 35 to 64 years,Estimate; SEX AND AGE - 35 to 64 years - Male,Margin of Error; SEX AND AGE - 35 to 64 years - Male,Estimate; SEX AND AGE - 35 to 64 years - Female,Margin of Error; SEX AND AGE - 35 to 64 years - Female,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 65 years and over - Male,Margin of Error; SEX AND AGE - 65 years and over - Male,Estimate; SEX AND AGE - 65 years and over - Female,Margin of Error; SEX AND AGE - 65 years and over - Female,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher,"Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher",Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,"Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher",Estimate; FERTILITY - Women 15 to 50 years,Margin of Error; FERTILITY - Women 15 to 50 years,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars),Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars)
10,Delaware,2,White alone,647533,4080,48.8,0.2,51.2,0.2,5.1,0.2,13.9,0.2,8.8,0.1,12.5,0.2,11.4,0.2,14.2,0.1,14.6,0.1,11.4,0.1,8.2,0.1,43.7,0.3,123061,2163,51.7,0.9,48.3,0.9,524472,2555,48.1,0.2,51.9,0.2,137528,1665,50,0.5,50,0.5,260241,1809,48.6,0.3,51.4,0.3,126703,540,45,0.2,55,0.2,467717,2145,9.7,0.8,32.5,1.1,26.6,1,18.9,0.9,12.3,0.7,90.3,0.8,88.8,1.1,91.7,0.9,31.2,1.1,31.1,1.6,31.3,1.3,144208,1773,254714,3145,64388,2387
10,Delaware,4,Black or African American alone,203326,3317,47.4,0.5,52.6,0.5,6.8,0.6,18.5,0.8,11.7,0.4,13.7,0.5,12.8,0.3,14.5,0.3,11.5,0.2,6.6,0.2,3.9,0.1,34.3,0.7,51374,2563,51.7,1.7,48.3,1.7,151952,1742,46,0.5,54,0.5,51755,1385,49.2,1.4,50.8,1.4,78886,744,45.1,0.4,54.9,0.4,21311,225,41.4,0.4,58.6,0.4,128116,1427,13.2,1.7,31.8,2.4,32.2,2.6,13.5,1.7,9.3,1.6,86.8,1.7,85.5,2.4,87.8,2.1,22.8,2.1,18.3,2.8,26.5,3.1,54175,1372,72059,2707,45264,2799
11,District of Columbia,2,White alone,265077,3969,50,0.4,50,0.4,5.3,0.4,6.4,0.4,12.6,0.3,31.3,0.5,16.4,0.3,9.8,0.2,8.3,0.2,6.1,0.2,3.8,0.1,32.8,0.2,30924,1731,51.7,1.8,48.3,1.8,234153,2826,49.8,0.4,50.2,0.4,116399,1806,47.3,0.6,52.7,0.6,91376,1573,54.2,0.7,45.8,0.7,26378,596,45.9,1.2,54.1,1.2,200785,2697,2.6,0.8,3.4,0.7,6.9,1,36.4,1.3,50.8,1.7,97.4,0.8,97.7,1,97.2,0.8,87.2,1.5,87,1.8,87.4,1.7,89519,1389,125176,2570,114747,5103
11,District of Columbia,4,Black or African American alone,321346,2832,45.4,0.2,54.6,0.2,6.6,0.2,14.7,0.2,11.5,0.2,14.8,0.3,11.7,0.2,13.4,0.1,13.3,0.2,7.5,0.1,6.5,0.1,37,0.4,68386,1230,50.4,0.7,49.6,0.7,252960,2048,44,0.3,56,0.3,84629,1200,45.6,0.6,54.4,0.6,123141,1100,45.4,0.4,54.6,0.4,45190,572,37.4,0.4,62.6,0.4,216029,1989,13.4,1.2,33.5,1.8,28,1.6,13.4,1.2,11.7,1.2,86.6,1.2,85.4,1.7,87.5,1.4,25.1,1.5,22.4,2.3,27.2,1.9,85634,1481,127275,3227,40739,1796
12,Florida,2,White alone,15113860,28793,49.1,0.1,50.9,0.1,4.7,0.1,13.4,0.1,8.2,0.1,11.9,0.1,11.8,0.1,14.1,0.1,13.8,0.1,12,0.1,10.1,0.1,45,0.2,2732082,13903,51.1,0.2,48.9,0.2,12381778,20977,48.6,0.1,51.4,0.1,3029580,10346,51.4,0.1,48.6,0.1,6010437,12921,49.1,0.1,50.9,0.1,3341761,5372,45.3,0.1,54.7,0.1,11147009,18601,11.2,0.2,29.5,0.2,30.5,0.3,18.3,0.2,10.4,0.2,88.8,0.2,88,0.3,89.5,0.2,28.8,0.3,30,0.3,27.7,0.3,3231317,11473,5897961,22424,50336,302
12,Florida,4,Black or African American alone,3221160,14886,48.1,0.2,51.9,0.2,7.2,0.2,19.4,0.2,12.2,0.2,14.7,0.2,13.1,0.2,12.9,0.2,10.6,0.1,5.9,0.1,4,0.1,32.4,0.2,857480,9493,51.3,0.5,48.7,0.5,2363680,9699,46.9,0.2,53.1,0.2,865518,6920,49,0.4,51,0.4,1178642,6782,46.9,0.2,53.1,0.2,319520,3543,41.4,0.5,58.6,0.5,1972278,9195,18.7,0.6,33.4,0.7,30.8,0.7,11.2,0.4,5.9,0.3,81.3,0.6,80.1,0.7,82.3,0.7,17.1,0.5,15.1,0.6,18.7,0.6,869575,6031,1004001,11996,34563,782
12,Florida,12,Asian alone (400-499),524583,7659,45.8,0.6,54.2,0.6,4.6,0.4,14.5,0.5,9.7,0.5,15.4,0.6,17,0.5,14.8,0.5,11.6,0.4,8.1,0.4,4.2,0.3,38.5,0.5,100370,4575,49.4,2.3,50.6,2.3,424213,4669,45,0.5,55,0.5,131461,3684,47.8,1.1,52.2,1.1,228223,3789,44.1,0.7,55.9,0.7,64529,1750,42.4,1.6,57.6,1.6,373289,4660,14.4,1.1,18.4,1.3,22.5,1.4,26.8,1.2,18,1.3,85.6,1.1,87.5,1.5,84.1,1.3,44.8,1.7,48.3,2.4,42,1.7,153788,3607,163027,4960,57814,4349
12,Florida,70,Some other race alone,489726,24853,50.9,1.3,49.1,1.3,7.4,0.8,18.7,1.3,11.3,1,19.5,1,16,1,12.3,0.8,8.4,0.8,4.1,0.6,2.3,0.4,31.5,0.9,127833,10245,53.7,2.4,46.3,2.4,361893,18739,50,1.5,50,1.5,150855,9760,52.6,2.8,47.4,2.8,179781,10814,49.4,2.1,50.6,2.1,31257,3969,40.7,4.4,59.3,4.4,306496,15981,27.8,1.9,26,1.6,27.3,1.7,13.6,1.2,5.3,0.8,72.2,1.9,69.4,2.7,75,2.1,18.9,1.5,16.9,2,20.9,2.1,135824,9514,134409,6730,39652,2343
13,Georgia,2,White alone,6043917,17213,49.6,0.1,50.4,0.1,5.7,0.1,16.4,0.1,9.3,0.1,12.7,0.1,13.3,0.1,14.4,0.1,13,0.1,9.3,0.1,6.1,0.1,39.6,0.2,1331817,8497,51.4,0.3,48.6,0.3,4712100,10660,49.1,0.1,50.9,0.1,1331283,7500,51.5,0.2,48.5,0.2,2452130,8406,49.6,0.1,50.4,0.1,928687,2147,44.4,0.1,55.6,0.1,4148932,9759,12.7,0.3,28,0.4,27.4,0.3,20.2,0.3,11.7,0.3,87.3,0.3,86.1,0.4,88.4,0.3,31.9,0.4,32.4,0.6,31.5,0.5,1413049,6509,2259369,13909,56315,583
13,Georgia,4,Black or African American alone,3163620,12109,46.9,0.2,53.1,0.2,7,0.1,20,0.2,11.6,0.2,14.6,0.2,14,0.2,13.4,0.2,10.6,0.1,5.6,0.1,3.1,0.1,32.8,0.2,854679,7207,50.7,0.5,49.3,0.5,2308941,8296,45.5,0.1,54.5,0.1,829453,7051,47.7,0.3,52.3,0.3,1203492,7327,45.5,0.3,54.5,0.3,275996,2554,38.8,0.5,61.2,0.5,1942277,8970,15.9,0.5,31.2,0.7,31.9,0.6,13.5,0.6,7.5,0.4,84.1,0.5,82.1,0.8,85.7,0.6,21,0.7,17.7,0.9,23.7,0.9,886398,5302,1092629,10310,36521,603
13,Georgia,12,Asian alone (400-499),371688,5501,48.5,0.6,51.5,0.6,6.1,0.4,17.1,0.5,10.1,0.5,16.6,0.6,18.9,0.6,14.2,0.6,9.1,0.4,5.6,0.4,2.3,0.2,35,0.4,86124,3071,52.7,1.7,47.3,1.7,285564,3532,47.2,0.6,52.8,0.6,99375,2701,48.3,1.4,51.7,1.4,156909,3575,47.3,0.9,52.7,0.9,29280,1416,43,2.1,57,2.1,247910,3237,14.5,1.3,17.4,1.8,16,1.5,28.2,1.9,24,1.6,85.5,1.3,87.2,1.7,84,1.5,52.2,2.1,56.3,2.8,48.5,2.4,113958,2835,111612,2993,67044,4222
13,Georgia,70,Some other race alone,282876,16095,52.5,1.4,47.5,1.4,11.3,1.2,27,1.2,12.2,1.1,18.5,1.5,16.5,1.2,9.6,1,3.4,0.6,1.1,0.4,0.3,0.2,24.7,0.8,108350,8219,51.6,3,48.4,3,174526,9784,53.1,1.5,46.9,1.5,86831,6260,53.8,2.7,46.2,2.7,83634,6290,53,2.4,47,2.4,4061,1227,40.2,10.3,59.8,10.3,139951,7561,42.2,3.1,27.8,2.4,17.7,1.9,8.5,1.6,3.8,1.2,57.8,3.1,54.2,3.9,61.9,3.6,12.3,2.1,9.8,2.5,15.2,2.8,76997,4887,69944,3896,37174,3334
15,Hawaii,2,White alone,360711,3547,55.5,0.5,44.5,0.5,4.9,0.3,9.5,0.3,10.4,0.3,18,0.4,12.7,0.4,12.4,0.2,15.2,0.2,10.9,0.1,6.1,0.1,40.6,0.5,51839,1888,54.1,2.3,45.9,2.3,308872,2232,55.8,0.4,44.2,0.4,102250,1864,59.8,1,40.2,1,145256,1758,55,0.5,45,0.5,61366,617,50.8,0.4,49.2,0.4,271487,1992,3.8,0.7,19.7,1.4,34.1,1.6,25.5,1.5,16.9,1.2,96.2,0.7,96.4,0.8,95.8,1,42.4,1.7,41,2.1,44,2,74862,1583,150317,3477,68415,3263
15,Hawaii,12,Asian alone (400-499),534189,9753,46,0.5,54,0.5,3.9,0.4,11.4,0.5,6.6,0.4,11.5,0.4,12.2,0.4,15.3,0.4,15.5,0.4,11.5,0.3,12,0.3,47.9,0.5,81915,4715,50.5,1.6,49.5,1.6,452274,6803,45.2,0.5,54.8,0.5,96757,3813,47.6,1.4,52.4,1.4,229668,4288,46.4,0.7,53.6,0.7,125849,2252,41.2,0.6,58.8,0.6,416864,5858,11.7,0.7,27.6,1.3,29.2,1.1,22.1,0.9,9.4,0.7,88.3,0.7,89.5,1,87.4,0.9,31.5,1.2,30.2,1.6,32.6,1.4,119156,3337,174552,3801,74723,2049
15,Hawaii,50,Native Hawaiian and Other Pacific Islander alone (500-599),147612,5023,49.6,1.1,50.4,1.1,6.9,0.7,21,0.9,11.9,0.8,15.4,0.9,12.7,0.9,13.1,0.6,9.8,0.6,5.5,0.7,3.6,0.5,31.2,0.8,41299,2266,49.5,2.3,50.5,2.3,106313,3662,49.6,1.3,50.4,1.3,40315,1922,50.5,2.1,49.5,2.1,52593,2008,50.4,1.7,49.6,1.7,13405,1211,43.9,4.2,56.1,4.2,88717,3361,10.9,1.6,47.5,2.6,29.8,2.6,8,1.4,3.8,0.9,89.1,1.6,89.4,2.2,88.8,2.4,11.8,1.6,10.5,2.3,13.1,2.4,38868,2049,38882,2218,56766,3783
16,Idaho,2,White alone,1498107,5221,49.9,0.1,50.1,0.1,6.5,0.1,18.9,0.1,9.3,0.1,12.9,0.1,12.4,0.2,12.3,0.1,12.6,0.1,9,0.1,6.1,0.1,36.9,0.2,381250,3160,51.2,0.5,48.8,0.5,1116857,3227,49.5,0.1,50.5,0.1,332534,2388,50.8,0.4,49.2,0.4,558675,2623,49.8,0.2,50.2,0.2,225648,1100,47.1,0.3,52.9,0.3,977553,3171,8.9,0.6,28.2,1,37.4,1,17.1,0.7,8.4,0.4,91.1,0.6,90.4,0.8,91.8,0.6,25.5,0.8,26.7,1.1,24.2,1.1,341032,2531,557416,4828,48503,1295
17,Illinois,2,White alone,9290445,21829,49.4,0.1,50.6,0.1,5.6,0.1,15.7,0.1,9,0.1,13.3,0.1,12.6,0.1,14.4,0.1,13.6,0.1,8.7,0.1,7.1,0.1,40.1,0.2,1973449,9932,51.3,0.2,48.7,0.2,7316996,14709,48.8,0.1,51.2,0.1,2079425,8692,50.8,0.2,49.2,0.2,3769933,8750,49.8,0.1,50.2,0.1,1467638,2953,43.5,0.1,56.5,0.1,6477315,12174,9.5,0.2,27.4,0.3,28.8,0.3,21.3,0.3,13,0.2,90.5,0.2,90.2,0.2,90.8,0.2,34.3,0.3,34.3,0.4,34.3,0.3,2159767,8200,3635551,10428,62243,378
17,Illinois,4,Black or African American alone,1837715,10948,46.8,0.2,53.2,0.2,6.7,0.1,18.9,0.2,12,0.2,13.7,0.1,12.8,0.2,13.2,0.1,11.7,0.1,6.5,0.1,4.5,0.1,34.1,0.2,469432,6831,50,0.5,50,0.5,1368283,5661,45.7,0.2,54.3,0.2,472733,4010,49,0.4,51,0.4,692553,3764,45.4,0.3,54.6,0.3,202997,1341,39,0.3,61,0.3,1147196,4165,15.2,0.6,28.4,0.7,35.6,0.7,12.3,0.5,8.6,0.5,84.8,0.6,83.2,0.9,86.1,0.7,20.8,0.6,17.6,0.9,23.5,0.8,491819,4217,661661,7209,33369,1109
17,Illinois,12,Asian alone (400-499),663454,5604,48.2,0.3,51.8,0.3,5.8,0.3,15.1,0.3,9.6,0.3,18.2,0.3,16.9,0.3,13,0.3,10.8,0.3,6.9,0.2,3.6,0.1,35.7,0.3,138798,3117,50.2,1.1,49.8,1.1,524656,3988,47.6,0.3,52.4,0.3,184465,3035,50.2,0.7,49.8,0.7,270076,2789,46.7,0.4,53.3,0.4,70115,1503,44.4,0.7,55.6,0.7,460863,3532,9.1,0.7,11,0.8,17.3,1,34.8,1.1,27.9,1.3,90.9,0.7,93.4,0.8,88.7,0.9,62.6,1.3,65.7,1.9,59.9,1.3,189358,2587,211389,4108,75908,3195
17,Illinois,70,Some other race alone,763579,22418,51.4,0.7,48.6,0.7,8.1,0.5,24.4,0.7,12.1,0.5,16.4,0.6,17.2,0.6,11,0.5,6.7,0.4,2.7,0.2,1.4,0.2,28.5,0.5,247786,10289,49.6,1.5,50.4,1.5,515793,14719,52.2,0.8,47.8,0.8,217628,8708,52.8,1.5,47.2,1.5,267055,8650,52.7,1,47.3,1,31110,2646,44.8,3.1,55.2,3.1,423021,12236,41.2,1.5,30.2,1.3,19.2,1.1,7.1,0.8,2.4,0.4,58.8,1.5,57.6,2.1,60.2,1.6,9.5,0.9,9.2,1.2,9.9,1,211857,8366,189010,5716,46104,1218
18,Indiana,2,White alone,5547390,10643,49.3,0.1,50.7,0.1,5.8,0.1,16.6,0.1,9.7,0.1,12.3,0.1,12.5,0.1,13.9,0.1,13.6,0.1,8.8,0.1,6.8,0.1,39.7,0.2,1244001,5242,51.4,0.2,48.6,0.2,4303389,6902,48.7,0.1,51.3,0.1,1221680,4310,50.4,0.1,49.6,0.1,2215658,4462,49.6,0.1,50.4,0.1,866051,1372,43.7,0.1,56.3,0.1,3766086,5669,10.6,0.3,35,0.4,29.3,0.4,16.2,0.3,8.9,0.2,89.4,0.3,89,0.4,89.8,0.3,25.1,0.4,24.8,0.4,25.4,0.5,1282790,4965,2158486,9183,51814,383
18,Indiana,4,Black or African American alone,612890,6872,47.6,0.5,52.4,0.5,7.8,0.3,20.8,0.6,11.9,0.4,14.3,0.5,13.1,0.4,12.4,0.3,10.5,0.3,5.5,0.3,3.7,0.2,31.5,0.5,175366,5112,50.3,1.1,49.7,1.1,437524,3826,46.6,0.5,53.4,0.5,160907,3540,48.5,0.9,51.5,0.9,220526,3350,47.1,0.7,52.9,0.7,56091,1841,39.1,1.2,60.9,1.2,364389,3548,14.7,1,33.2,1.6,35.8,1.5,10,0.9,6.3,0.6,85.3,1,83.6,1.4,86.7,1.3,16.3,1.1,14.2,1.3,18.1,1.6,163498,2950,226349,4885,30112,1343
18,Indiana,12,Asian alone (400-499),130250,3827,48.1,1.1,51.9,1.1,6.2,0.7,17.8,1.1,15.7,1.4,20.8,2,17.4,1.3,10.5,1.1,6.2,0.7,3.9,0.8,1.6,0.6,30.2,0.7,31285,2171,48.3,3.2,51.7,3.2,98965,2449,48,1.2,52,1.2,47517,2361,48.5,2.3,51.5,2.3,44274,2526,47.6,2,52.4,2,7174,1001,48.1,6,51.9,6,78559,2587,13.1,2.2,14.2,2.2,15.5,2.5,26.5,2.9,30.6,2.6,86.9,2.2,88.5,2.6,85.5,2.9,57.1,2.9,62.8,3.9,52.1,3.9,42961,2032,40852,2284,56238,5526
18,Indiana,70,Some other race alone,143931,10528,51.2,1.7,48.8,1.7,9.1,1.1,24.9,1.9,13.5,1.8,17.9,1.8,15.1,1.6,11.8,1.2,4.4,0.9,2,0.6,1.2,0.3,27.1,1.2,48914,5206,48,4.1,52,4.1,95017,6595,52.8,1.8,47.2,1.8,45270,3992,54,2.9,46,2.9,45161,4364,52.7,2.6,47.3,2.6,4586,931,40.8,8.7,59.2,8.7,75561,5094,37.9,3.3,30.3,3.2,22.2,2.8,6.8,1.6,2.8,1.5,62.1,3.3,62.1,4.3,62.1,4.3,9.6,2.2,9,2.6,10.2,3.2,39276,3249,40076,2918,38922,4476
19,Iowa,2,White alone,2837758,4198,49.4,0.1,50.6,0.1,5.8,0.1,16.4,0.1,9.9,0.1,12.2,0.1,11.6,0.1,13.4,0.1,13.7,0.1,8.9,0.1,8,0.1,39.8,0.2,631629,2205,51.3,0.3,48.7,0.3,2206129,2857,48.9,0.1,51.1,0.1,627313,2140,50.8,0.2,49.2,0.2,1100402,2778,50,0.1,50,0.1,478414,986,43.8,0.1,56.2,0.1,1925460,2975,7,0.3,32.4,0.5,33,0.5,18.8,0.4,8.8,0.3,93,0.3,92.1,0.4,93.7,0.3,27.6,0.5,26.6,0.6,28.5,0.6,631751,2817,1160552,5719,54863,741
19,Iowa,4,Black or African American alone,97874,3370,52.3,1.8,47.7,1.8,8.9,1,22.9,1.4,14,1.7,17.3,1.9,13,1.6,10.7,1.3,7.5,0.8,3.5,0.7,2.1,0.4,27.3,1.3,31158,2268,51.2,3.5,48.8,3.5,66716,2424,52.8,1.9,47.2,1.9,30679,2312,50.7,3.5,49.3,3.5,30547,1610,57.1,2.7,42.9,2.7,5490,769,40.9,6.4,59.1,6.4,52965,2432,16.2,2.6,28.1,3.4,36.6,3.9,12.1,2.6,7.1,2,83.8,2.6,79.8,4.2,88.2,2.9,19.1,3.8,18.6,4.5,19.7,4.8,25502,1984,33946,2271,28883,3935
19,Iowa,12,Asian alone (400-499),68419,3108,52.3,2,47.7,2,7.6,1.8,16.6,2,16.6,2,17.2,2.2,20.1,2.7,11,2,6,1.2,3.2,1,1.8,0.8,30.4,1.5,16557,1904,57.6,5.3,42.4,5.3,51862,2231,50.6,2.3,49.4,2.3,23129,1730,53.1,4.2,46.9,4.2,25344,1734,49,3.2,51,3.2,3389,910,45.7,9.3,54.3,9.3,40517,1976,17,3.2,12.3,2.3,18.8,3.5,27,3.7,24.9,4.9,83,3.2,84.6,4.5,81.5,3.4,51.9,4.4,54.6,5.9,49.4,5.3,21362,1412,21653,1763,61271,2225
20,Kansas,2,White alone,2466138,7001,49.5,0.1,50.5,0.1,6.5,0.1,17,0.1,9.9,0.1,13,0.1,11.9,0.1,12.9,0.1,13.2,0.1,8.4,0.1,7.2,0.1,38.1,0.2,579766,4264,51.1,0.3,48.9,0.3,1886372,3860,49.1,0.1,50.9,0.1,564404,3162,51.5,0.2,48.5,0.2,937247,3184,49.6,0.2,50.4,0.2,384721,1154,44.1,0.1,55.9,0.1,1641994,4132,8.5,0.3,26.7,0.5,32.3,0.5,21.2,0.5,11.3,0.3,91.5,0.3,90.9,0.5,92,0.4,32.5,0.5,32,0.6,32.9,0.7,555623,3143,971872,5618,54702,799
20,Kansas,4,Black or African American alone,171976,4756,51.6,1.1,48.4,1.1,7.4,0.8,20.4,1,12.9,1,15.3,1.2,13,0.9,11.2,0.7,10.8,0.6,4.9,0.5,4.2,0.5,30.8,1,47754,3052,49.2,2.8,50.8,2.8,124222,2698,52.6,1.3,47.4,1.3,48499,2201,55.7,2.6,44.3,2.6,60022,2238,53.2,1.6,46.8,1.6,15701,881,40.2,3.3,59.8,3.3,101975,2766,13.8,1.8,29.8,2.5,36.8,2.7,11.3,2,8.2,1.4,86.2,1.8,86.4,2.7,86,2.2,19.6,2.4,18.2,2.9,21,3.1,40551,2167,63351,2777,32057,2570
20,Kansas,12,Asian alone (400-499),76245,2414,48.4,1.8,51.6,1.8,6,0.9,17.1,1.3,14.1,1.7,19.6,1.9,17.4,1.5,10.6,1.3,8.2,1,4.3,1,2.7,0.8,31.4,0.8,17579,1427,55.2,4.1,44.8,4.1,58666,1835,46.3,1.8,53.7,1.8,25691,1583,45.5,3.6,54.5,3.6,27621,1668,48,2.4,52,2.4,5354,807,41.6,4.3,58.4,4.3,47908,2055,14.2,2.4,14.9,2.5,20.9,3.5,22.8,2.8,27.2,3.2,85.8,2.4,85.8,3.8,85.8,2.9,50,3.6,50.4,5.6,49.7,4,25240,1451,24807,1621,63220,7452
21,Kentucky,2,White alone,3858261,5024,49.2,0.1,50.8,0.1,5.8,0.1,16,0.1,9.3,0.1,12.5,0.1,12.7,0.1,14.2,0.1,13.6,0.1,9.3,0.1,6.5,0.1,40.1,0.2,841646,3485,51.8,0.3,48.2,0.3,3016615,3465,48.5,0.1,51.5,0.1,843721,2663,50.5,0.1,49.5,0.1,1562150,2477,49.2,0.1,50.8,0.1,610744,945,44,0.1,56,0.1,2655938,3305,15.4,0.4,34.1,0.4,28,0.4,13.2,0.3,9.2,0.3,84.6,0.4,83,0.5,86,0.5,22.4,0.4,21.9,0.6,22.9,0.5,893193,3078,1524636,7733,45020,646
21,Kentucky,4,Black or African American alone,350141,6964,50,0.9,50,0.9,6.5,0.5,18.7,0.9,12.6,0.8,14.6,0.8,12.5,0.6,14,0.7,11.7,0.6,5.7,0.4,3.7,0.2,33.6,0.6,88474,4044,52.4,1.4,47.6,1.4,261667,5214,49.3,1,50.7,1,95334,3989,53,2,47,2,133510,3758,48.7,1.4,51.3,1.4,32823,1495,40.5,2.1,59.5,2.1,217377,4336,14.3,1.4,35,2,34.5,2,9.5,1,6.8,1,85.7,1.4,84.7,1.7,86.7,1.8,16.3,1.4,13,1.5,19.2,2.1,87089,2715,135922,4048,26735,1277
22,Louisiana,2,White alone,2919142,5872,49.4,0.1,50.6,0.1,5.9,0.1,15.5,0.1,9.1,0.1,13.9,0.1,12.4,0.1,13.7,0.1,13.6,0.1,9.2,0.1,6.8,0.1,39.5,0.2,623704,2742,51.2,0.4,48.8,0.4,2295438,4367,49,0.1,51,0.1,671585,4004,50.8,0.2,49.2,0.2,1156617,3260,49.7,0.1,50.3,0.1,467236,1065,44.4,0.1,55.6,0.1,2030478,4292,13.2,0.5,33.3,0.6,26.9,0.5,17.7,0.4,8.9,0.3,86.8,0.5,85.5,0.6,88,0.5,26.6,0.5,25.9,0.6,27.2,0.7,672261,3591,1129510,7373,54290,988
22,Louisiana,4,Black or African American alone,1502184,7081,47.3,0.2,52.7,0.2,7.5,0.1,20.4,0.2,12,0.2,14.5,0.3,12.1,0.3,12.2,0.2,11.4,0.1,6.1,0.1,3.7,0.1,31.8,0.2,419564,4230,50.5,0.6,49.5,0.6,1082620,4473,46.1,0.2,53.9,0.2,397696,3987,48,0.5,52,0.5,537440,4081,46.4,0.4,53.6,0.4,147484,1462,40,0.6,60,0.6,902889,5280,22.5,0.8,36,0.9,27.5,0.9,9.4,0.6,4.7,0.4,77.5,0.8,74,1,80.4,1.1,14.1,0.7,11.1,0.9,16.6,0.9,395702,3841,526868,7160,27655,904
